statenum,casenum,vnumber,pnumber,arrhr,arrmin,arrtime,atmcond,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,acctime,caseyear,dayofweek,hosphr,hospmin,hosptime,fhevent,holiday,heavytruck,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,milepnt,nhs,nothr,notmin,nottime,numfatal,nmforms,vforms,rxing,reljuncinter,relrdwy,schlbus,spejur,trafid1,age,alcres,alctst,deathdate,dthday,dthhr,dthmin,dthmon,deathtime,dthyr,drugres1,drugres2,drugres3,drugtst1,drugtst2,drugtst3,hispanic,injury,methalc,methdrug,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex,lagtime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,1,1,88,88,8888,1,1800,49,1032016,3,2,35,1,0,0,0,235,2016,1,88,88,8888,43,1,0,39.97709722,39,58,37.55,3,-83.14895556,83,8,56.24,0,52,1,88,88,8888,1,0,1,0,0,4,0,0,I-70,38,230,1,1032016,3,2,55,1,255,2016,1,0,0,1,0,0,7,4,9,8,0,0,0,1,0,0,2,1,20
39,20,1,1,14,13,1413,1,1800,49,1012016,1,14,0,1,0,0,0,1400,2016,6,88,88,8888,30,1,0,39.90298889,39,54,10.76,1,-83.18291111,83,10,58.48,0,0,0,14,6,1406,1,0,1,0,0,4,0,0,CR-11 ALKIRE RD,55,130,1,1012016,1,14,18,1,1418,2016,600,996,0,1,3,0,7,4,1,1,0,0,0,1,0,1,1,1,18
39,24,1,1,17,35,1735,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,17,51,1751,12,1,0,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,0,0,17,22,1722,1,0,3,0,0,1,0,0,CR-175 BRENTNELL AVE,51,270,1,1032016,3,18,2,1,1802,2016,402,996,0,1,3,0,7,4,9,8,0,0,0,1,1,1,2,1,42
39,24,2,1,17,35,1735,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,17,51,1751,12,1,0,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,0,0,17,22,1722,1,0,3,0,0,1,0,0,CR-175 BRENTNELL AVE,20,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,1,9,8,0,0,0,1,0,0,0,1,99999
39,24,2,2,17,35,1735,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,17,51,1751,12,1,0,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,0,0,17,22,1722,1,0,3,0,0,1,0,0,CR-175 BRENTNELL AVE,17,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,9,8,0,0,0,2,8,8,0,2,99999
39,24,2,3,17,35,1735,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,17,51,1751,12,1,0,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,0,0,17,22,1722,1,0,3,0,0,1,0,0,CR-175 BRENTNELL AVE,2,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,9,8,0,0,0,2,8,8,0,2,99999
39,24,3,1,17,35,1735,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,17,51,1751,12,1,0,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,0,0,17,22,1722,1,0,3,0,0,1,0,0,CR-175 BRENTNELL AVE,19,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,3,9,8,0,0,0,1,0,0,0,2,99999
39,24,3,2,17,35,1735,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,17,51,1751,12,1,0,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,0,0,17,22,1722,1,0,3,0,0,1,0,0,CR-175 BRENTNELL AVE,18,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,3,9,8,0,0,0,2,0,0,0,1,99999
39,24,3,3,17,35,1735,1,1800,49,1032016,3,17,20,1,0,0,0,1720,2016,1,17,51,1751,12,1,0,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,0,0,17,22,1722,1,0,3,0,0,1,0,0,CR-175 BRENTNELL AVE,16,996,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,2,99999
