statenum,casenum,vnumber,pnumber,atmcond,atmcond2,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,caseyear,dayofweek,fhevent,holiday,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,numfatal,vforms,schlbus,speeding,age,alcres,alcsts,alctst,drugres1,drugres2,drugres3,drugsts,drugtst1,drugtst2,drugtst3,injury,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex
39,2,1,1,1,0,1800,49,1032016,3,2,35,1,0,0,0,2016,1,43,1,39.97709722,39,58,37.55,3,-83.14895556,83,8,56.24,0,1,1,0,0,38,230,2,1,1,0,0,2,1,0,0,4,0,0,0,1,0,0,2,1
39,20,1,1,1,0,1800,49,1012016,1,14,0,1,0,0,0,2016,6,30,1,39.90298889,39,54,10.76,1,-83.18291111,83,10,58.48,0,1,1,0,0,55,130,2,1,600,996,0,2,1,3,0,4,0,0,0,1,0,1,1,1
39,24,1,1,1,0,1800,49,1032016,3,17,20,1,0,0,0,2016,1,12,1,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,1,3,0,1,51,270,2,1,402,996,0,2,1,3,0,4,0,0,0,1,1,1,2,1
39,24,2,1,1,0,1800,49,1032016,3,17,20,1,0,0,0,2016,1,12,1,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,1,3,0,1,20,996,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
39,24,2,2,1,0,1800,49,1032016,3,17,20,1,0,0,0,2016,1,12,1,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,1,3,0,1,17,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,2
39,24,2,3,1,0,1800,49,1032016,3,17,20,1,0,0,0,2016,1,12,1,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,1,3,0,1,2,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,2
39,24,3,1,1,0,1800,49,1032016,3,17,20,1,0,0,0,2016,1,12,1,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,1,3,0,1,19,996,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2
39,24,3,2,1,0,1800,49,1032016,3,17,20,1,0,0,0,2016,1,12,1,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,1,3,0,1,18,996,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1
39,24,3,3,1,0,1800,49,1032016,3,17,20,1,0,0,0,2016,1,12,1,39.99486111,39,59,41.5,5,-82.9497,82,56,58.92,7,1,3,0,1,16,996,0,0,0,0,0,0,0,0,0,3,0,0,0,2,8,8,0,2
39,33,1,1,1,0,1800,49,1202016,20,19,2,1,0,0,0,2016,4,12,0,40.03744722,40,2,14.81,2,-83.03245556,83,1,56.84,6,1,2,0,0,46,996,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
39,33,1,2,1,0,1800,49,1202016,20,19,2,1,0,0,0,2016,4,12,0,40.03744722,40,2,14.81,2,-83.03245556,83,1,56.84,6,1,2,0,0,50,0,2,1,407,402,996,2,3,3,3,4,0,0,0,2,8,8,1,2
39,33,2,1,1,0,1800,49,1202016,20,19,2,1,0,0,0,2016,4,12,0,40.03744722,40,2,14.81,2,-83.03245556,83,1,56.84,6,1,2,0,0,51,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
39,49,0,1,10,0,1800,49,1312016,31,18,17,1,0,0,0,2016,1,8,0,39.94478056,39,56,41.21,3,-82.87783056,82,52,40.19,0,1,1,0,0,40,250,2,1,348,177,0,2,1,1,0,4,0,0,0,5,0,0,1,1
39,49,1,1,10,0,1800,49,1312016,31,18,17,1,0,0,0,2016,1,8,0,39.94478056,39,56,41.21,3,-82.87783056,82,52,40.19,0,1,1,0,0,43,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,49,1,2,10,0,1800,49,1312016,31,18,17,1,0,0,0,2016,1,8,0,39.94478056,39,56,41.21,3,-82.87783056,82,52,40.19,0,1,1,0,0,43,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,1
39,53,1,1,2,0,0,49,2022016,2,22,7,2,0,0,0,2016,3,12,0,39.83046944,39,49,49.69,2,-83.05271944,83,3,9.79,6,1,2,0,0,22,0,2,1,1,0,0,2,1,0,0,4,0,0,0,1,0,0,98,2
39,53,2,1,2,0,0,49,2022016,2,22,7,2,0,0,0,2016,3,12,0,39.83046944,39,49,49.69,2,-83.05271944,83,3,9.79,6,1,2,0,0,35,0,2,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1
39,63,0,1,1,0,1800,49,2202016,20,6,19,2,0,0,0,2016,7,8,0,40.01226111,40,0,44.14,3,-83.14034444,83,8,25.24,0,1,1,0,0,21,230,2,1,605,996,0,2,1,3,0,4,0,0,0,5,0,0,1,1
